tag,gateway,rssi,ts
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089127.4588723
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089134.9514282
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671089150.1474187
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089157.432194
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089157.520697
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089172.4543781
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089187.5111966
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089187.6448355
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089194.94926
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671089195.021471
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-100,1671089210.0109813
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671089210.0190775
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089224.9312787
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-100,1671089224.9709525
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-94,1671089232.450874
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-99,1671089232.4687998
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-101,1671089247.448974
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089247.4496584
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671089247.5212302
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671089254.949143
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089262.4454257
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671089277.6496174
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671089284.9433792
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089285.0610406
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089292.4492064
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-102,1671089322.5033154
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089359.9434729
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-107,1671089360.0113735
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089367.443593
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089367.5110333
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089390.1565008
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671089397.4356067
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089397.450174
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089404.9584584
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089412.4466038
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089419.9979713
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089434.9740143
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089457.4503312
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089465.0417511
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-101,1671089472.4651153
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089479.950634
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089487.4504519
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089502.4507432
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089509.9510894
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671089510.0011888
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089517.4412727
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089517.446722
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089532.6489542
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671089547.4466672
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089547.457376
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-100,1671089547.5118868
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089554.949324
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671089562.47609
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-107,1671089562.531727
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089570.1484046
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089577.448667
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089577.5109842
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089584.9282978
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671089585.0216513
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089599.9784026
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-107,1671089607.4583623
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089629.9484844
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089637.4485493
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089644.9787884
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089645.0216298
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-103,1671089674.9420552
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089674.9965825
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-108,1671089689.948632
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-101,1671089690.0023654
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671089697.438554
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-100,1671089697.462402
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-101,1671089697.491646
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089704.9382606
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-82,1671089705.031354
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-107,1671089712.4722703
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089719.9488113
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089727.468974
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671089727.522323
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671089734.9788039
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089735.03268
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089749.9484677
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-99,1671089750.0316732
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089772.448231
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089787.4286513
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089794.9484992
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-103,1671089795.1716506
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089824.958331
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671089825.0112362
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-111,1671089839.9486043
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089847.4588308
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-91,1671089847.5117917
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-113,1671089854.9584832
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-99,1671089862.5505857
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-115,1671089884.9587586
AC-1F-09-FF-FE-08-FD-E0,20080029c45752f,-106,1671089884.9673183
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089892.4387963
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671089907.4485302
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-112,1671089914.938289
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-102,1671089915.0115666
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-109,1671089922.4684582
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-117,1671089937.4486306
AC-1F-09-FF-FE-08-FD-E0,20080029c1ea300,-105,1671089937.4616253
AC-1F-09-FF-FE-08-FD-E0,20080029c5e3677,-114,1671089944.9585228
